Brands,Title,Rating(out of 5),Price,Category,Segment
Puma,Kids Wired Run PS Sneaker,4,1679,Sneakers,Low_segment
new balance,Men 520 Running Shoe,3.5,3803,Running Shoes,Medium_segment
Puma,Women Anzarun Lite Sneaker,3.6,2200,Sneakers,Medium_segment
Liberty,"Force 10 OSLO-20E Lacing Running Shoes for Women with PVC Sole|Suitable for Walking, Gym, Outdoor & Jogging|Mesh Outsole|Memory Foam Insole|Stylish, Comfortable & Durable|Sports Footwear",4.2,639,Running Shoes,Low_segment
Puma,Unisex Adult MAPF1 Drift Cat Decima 2.0 Sneaker,3.8,3199,Sneakers,Medium_segment
Skechers,Men Track Knockhill Sneakers,4,2389,Sneakers,Medium_segment
Bata,Women Casual Slipon Shoes,4,509,Casual Shoes,Low_segment
Vector X,"Ranger Badminton/Court Shoes Plus Non Marking Crepe Rubber Outsole, Lightweight & Comfort Shoe Best for Squash, Table Tennis,Volleyball, Basketball & Indoor Sports",3.9,1049,Other,Low_segment
Bata,Unisex-Child Sam E 24 School Uniform Shoe,3.8,250,Other,Low_segment
adidas,Mens Base Slide M Running Shoes,3.2,2279,Running Shoes,Medium_segment
Bacca Bucci,Men Suede Lace Up Sneaker Shoes,3.5,1199,Sneakers,Low_segment
Bacca Bucci,Men Mesh Lace Up Walking Shoes,3.5,1399,Walking Shoes,Low_segment
JQR,"EROS Men's Sports Running Shoes Mesh Upper Lace Up Design Soft Cushioned Memory Foam Insole Extra Grip Anti Skid Comfortable Lightweight Durable for Gym, Walking, Jogging & Everyday",5,909,Running Shoes,Low_segment
ATHCO,Mens Ray Super Comfortable Insole Shoes|Running|Walking|Training|Gym|Jogging|Sneaker|Athletic|Laceup|Flexible|Lightweight|Dailyuse|Sports|Casual|ExtraSoft|Fitness|Gents Boys,4.7,979,Running Shoes,Low_segment
Centrino,Casual Shoe for Men | Cushioned Insole | Stylish Shoe |Sporty Lace-Up Design| Sneakers for Boys & Men (6832),3,1399,Sneakers,Low_segment
GO RIDE,"Praise Running Shoes for Men, Running Shoes for Men Lightweight, Engineered for Speed and Stability, Sports Shoes",3.5,1399,Running Shoes,Low_segment
Puma,Men Flyer Lite Running Shoe,4.2,2249,Running Shoes,Medium_segment
Skechers,Men Bounder Verkona Sneakers,4,2825,Sneakers,Medium_segment
Campus,Mens Evok Running Shoes,3.9,1105,Running Shoes,Low_segment
Red Chief,Genuine Leather Derby Lace Up |Formal Shoes for Men for Office | TPR+Eva Cushioning,3.8,1959,Other,Low_segment
Longwalk,"Women and Girls Sneakers, Walking Gym Running Shoes",3.7,545,Running Shoes,Low_segment
Puma,Women Vikky v3 Lthr Sneaker,4.1,2758,Sneakers,Medium_segment
Liberty,Leap7x GHD-W10E Sports Lacing Running Shoes for Women with EVA Sole | Suitable for Walking Jogging Gym | Super Foam Insole | Comfortable Footbed | Shock Absorption,4.3,1229,Running Shoes,Low_segment
ASIAN,"Men's INNOVA-04 Sports Running,Walking & Gym Shoes with Max Cushion Technology Casual Sneaker Shoes for Men's & Boy's",3.8,1049,Running Shoes,Low_segment
JQR,"UP Rise Grey Sports Shoe for Men | Breathable Mesh | Shock Absorption | Non-Slip | Lightweight & Comfortable | Stylish & Durable for Gym, Walking, Jogging & Casual Use for Everyday Wear",3.9,989,Walking Shoes,Low_segment
Cruiser,Mens Casual Shoes| Trainers Comfortable Trendy Shoes | Classic Sneakers | Everyday Sneakers with Effortless Vibes | Go-to Sneakers for All-Day Comfort (Atlas),3.6,1049,Sneakers,Low_segment
Columbus,Maverick Sports Shoes - Running Shoes|Walking Shoes| Training & Gym Shoe | Outdoors Shoe for Men,4,1399,Running Shoes,Low_segment
Columbus,Eagle Sports Shoe - Running Shoe| Walking Shoe| Training & Gym Shoe| Outdoors Shoe for Men's,3,1285,Running Shoes,Low_segment
GO RIDE,"East Running Shoes for Men, Running Shoes for Men Lightweight, Engineered for Speed and Stability, Sports Shoes",3.8,1042,Running Shoes,Low_segment
GO RIDE,"Focus Sports Running Shoes for Men, Running Shoes for Men Sports",3.9,932,Running Shoes,Low_segment
Boldfit,Shoes for Man Stylish Running Shoes for Man Soft Cushion Lace Up Shoe for Men Stylish Regular Wear Walking Footwear Light Weight Sports Shoe for Men Running All Day Walking Footwear,4.7,1299,Running Shoes,Low_segment
